     time       11        10        00        01
   0.0000   0.0000    0.0000    0.0000    0.0000
   0.0601   0.0011    0.0011    0.0011    0.0011
   0.1201   0.0132    0.0133    0.0134    0.0133
   0.1802   0.0484    0.0491    0.0497    0.0491
   0.2402   0.1171    0.1193    0.1216    0.1193
   0.3003   0.2286    0.2343    0.2400    0.2343
   0.3604   0.3915    0.4036    0.4157    0.4036
   0.4204   0.6139    0.6365    0.6591    0.6365
   0.4805   0.9028    0.9414    0.9801    0.9414
   0.5405   1.2647    1.3265    1.3883    1.3265
   0.6006   1.7054    1.7992    1.8930    1.7992
   0.6607   2.2301    2.3666    2.5031    2.3666
   0.7207   2.8433    3.0354    3.2273    3.0354
   0.7808   3.5491    3.8116    4.0738    3.8116
   0.8408   4.3507    4.7009    5.0506    4.7009
   0.9009   5.2512    5.7086    6.1654    5.7086
   0.9610   6.2529    6.8397    7.4255    6.8397
   1.0210   7.3577    8.0986    8.8380    8.0986
   1.0811   8.5671    9.4894   10.4096    9.4894
   1.1411   9.8820   11.0159   12.1468   11.0159
   1.2012  11.3031   12.6815   14.0556   12.6815
   1.2613  12.8306   14.4894   16.1418   14.4894
   1.3213  14.4642   16.4422   18.4107   16.4422
   1.3814  16.2035   18.5425   20.8671   18.5425
   1.4414  18.0475   20.7924   23.5147   20.7924
   1.5015  19.9952   23.1937   26.3557   23.1937
   1.5616  22.0449   25.7481   29.3871   25.7481
   1.6216  24.1950   28.4568   32.5942   28.4568
   1.6817  26.4434   31.3209   35.9457   31.3209
   1.7417  28.7878   34.3410   39.4162   34.3410
   1.8018  31.2256   37.5175   42.9962   37.5175
   1.8619  33.7542   40.8503   46.6819   40.8503
   1.9219  36.3704   44.3389   50.4706   44.3389
   1.9820  39.0713   47.9819   54.3606   47.9819
   2.0420  41.8533   51.7764   58.3501   51.7764
   2.1021  44.7131   55.7173   62.4377   55.7173
   2.1622  47.6468   59.7945   66.6218   59.7945
   2.2222  50.6507   63.9939   70.9011   63.9939
   2.2823  53.7208   68.3019   75.2740   68.3019
   2.3423  56.8530   72.7102   79.7394   72.7102
   2.4024  60.0431   77.2141   84.2958   77.2141
   2.4625  63.2867   81.8109   88.9419   81.8109
   2.5225  66.5794   86.4985   93.6764   86.4985
   2.5826  69.9168   91.2750   98.4982   91.2750
   2.6426  73.2942   96.1390  103.4058   96.1390
   2.7027  76.7070  101.0890  108.3981  101.0890
   2.7628  80.1504  106.1236  113.4738  106.1236
   2.8228  83.6197  111.2415  118.6317  111.2415
   2.8829  87.1100  116.4415  123.8706  116.4415
   2.9429  90.6165  121.7222  129.1894  121.7222
   3.0030  94.1342  127.0824  134.5868  127.0824
   3.0631  97.6584  132.5210  140.0616  132.5210
   3.1231 101.1840  138.0367  145.6128  138.0367
   3.1832 104.7061  143.6284  151.2391  143.6284
   3.2432 108.2198  149.2949  156.9395  149.2949
   3.3033 111.7202  155.0351  162.7128  155.0351
   3.3634 115.2024  160.8478  168.5579  160.8478
   3.4234 118.6616  166.7320  174.4738  166.7320
   3.4835 122.0932  172.6866  180.4593  172.6866
   3.5435 125.4926  178.7104  186.5134  178.7104
   3.6036 128.8557  184.8024  192.6350  184.8024
   3.6637 132.1791  190.9615  198.8230  190.9615
   3.7237 135.4605  197.1867  205.0765  197.1867
   3.7838 138.6989  203.4769  211.3944  203.4769
   3.8438 141.8938  209.8312  217.7756  209.8312
   3.9039 145.0453  216.2484  224.2193  216.2484
   3.9640 148.1536  222.7277  230.7243  222.7277
   4.0240 151.2190  229.2679  237.2897  229.2679
   4.0841 154.2417  235.8682  243.9145  235.8682
   4.1441 157.2221  242.5275  250.5977  242.5275
   4.2042 160.1606  249.2449  257.3385  249.2449
   4.2643 163.0575  256.0194  264.1358  256.0194
   4.3243 165.9132  262.8501  270.9887  262.8501
   4.3844 168.7281  269.7360  277.8963  269.7360
   4.4444 171.5026  276.6763  284.8576  276.6763
   4.5045 174.2370  283.6700  291.8718  283.6700
   4.5646 176.9317  290.7162  298.9380  290.7162
   4.6246 179.5872  297.8140  306.0552  297.8140
   4.6847 182.2037  304.9625  313.2227  304.9625
   4.7447 184.7817  312.1609  320.4394  312.1609
   4.8048 187.3216  319.4082  327.7046  319.4082
   4.8649 189.8237  326.7037  335.0175  326.7037
   4.9249 192.2883  334.0465  342.3771  334.0465
   4.9850 194.7160  341.4357  349.7826  341.4357
   5.0450 197.1069  348.8705  357.2332  348.8705
   5.1051 199.4616  356.3500  364.7282  356.3500
   5.1652 201.7803  363.8736  372.2666  363.8736
   5.2252 204.0634  371.4403  379.8477  371.4403
   5.2853 206.3113  379.0493  387.4707  379.0493
   5.3453 208.5243  386.7000  395.1348  386.7000
   5.4054 210.7028  394.3914  402.8392  394.3914
   5.4655 212.8472  402.1229  410.5833  402.1229
   5.5255 214.9577  409.8936  418.3661  409.8936
   5.5856 217.0347  417.7029  426.1870  417.7029
   5.6456 219.0786  425.5499  434.0452  425.5499
   5.7057 221.0896  433.4339  441.9400  433.4339
   5.7658 223.0682  441.3542  449.8707  441.3542
   5.8258 225.0147  449.3101  457.8365  449.3101
   5.8859 226.9293  457.3008  465.8367  457.3008
   5.9459 228.8125  465.3256  473.8707  465.3256
   6.0060 230.6645  473.3839  481.9377  473.3839
   6.0661 232.4857  481.4750  490.0370  481.4750
   6.1261 234.2763  489.5981  498.1681  489.5981
   6.1862 236.0367  497.7526  506.3301  497.7526
   6.2462 237.7672  505.9379  514.5224  505.9379
   6.3063 239.4682  514.1531  522.7444  514.1531
   6.3664 241.1398  522.3978  530.9955  522.3978
   6.4264 242.7825  530.6712  539.2749  530.6712
   6.4865 244.3965  538.9728  547.5820  538.9728
   6.5465 245.9821  547.3018  555.9163  547.3018
   6.6066 247.5397  555.6576  564.2770  555.6576
   6.6667 249.0694  564.0397  572.6636  564.0397
   6.7267 250.5717  572.4473  581.0754  572.4473
   6.7868 252.0467  580.8800  589.5119  580.8800
   6.8468 253.4949  589.3371  597.9725  589.3371
   6.9069 254.9163  597.8180  606.4565  597.8180
   6.9670 256.3115  606.3221  614.9634  606.3221
   7.0270 257.6805  614.8488  623.4927  614.8488
   7.0871 259.0237  623.3976  632.0436  623.3976
   7.1471 260.3414  631.9679  640.6158  631.9679
   7.2072 261.6339  640.5591  649.2085  640.5591
   7.2673 262.9013  649.1707  657.8213  649.1707
   7.3273 264.1440  657.8021  666.4536  657.8021
   7.3874 265.3623  666.4528  675.1049  666.4528
   7.4474 266.5563  675.1223  683.7747  675.1223
   7.5075 267.7264  683.8100  692.4623  683.8100
   7.5676 268.8728  692.5153  701.1674  692.5153
   7.6276 269.9957  701.2379  709.8893  701.2379
   7.6877 271.0955  709.9771  718.6276  709.9771
   7.7477 272.1723  718.7324  727.3817  718.7324
   7.8078 273.2264  727.5034  736.1513  727.5034
   7.8679 274.2581  736.2895  744.9357  736.2895
   7.9279 275.2676  745.0903  753.7345  745.0903
   7.9880 276.2551  753.9053  762.5472  753.9053
   8.0480 277.2209  762.7340  771.3733  762.7340
   8.1081 278.1652  771.5759  780.2124  771.5759
   8.1682 279.0883  780.4305  789.0639  780.4305
   8.2282 279.9903  789.2975  797.9276  789.2975
   8.2883 280.8715  798.1762  806.8027  798.1762
   8.3483 281.7322  807.0664  815.6891  807.0664
   8.4084 282.5725  815.9674  824.5861  815.9674
   8.4685 283.3927  824.8790  833.4933  824.8790
   8.5285 284.1930  833.8006  842.4104  833.8006
   8.5886 284.9736  842.7319  851.3368  842.7319
   8.6486 285.7347  851.6723  860.2722  851.6723
   8.7087 286.4766  860.6215  869.2162  860.6215
   8.7688 287.1995  869.5791  878.1682  869.5791
   8.8288 287.9035  878.5446  887.1280  878.5446
   8.8889 288.5889  887.5176  896.0951  887.5176
   8.9489 289.2560  896.4978  905.0692  896.4978
   9.0090 289.9048  905.4847  914.0497  905.4847
   9.0691 290.5356  914.4780  923.0364  914.4780
   9.1291 291.1486  923.4772  932.0288  923.4772
   9.1892 291.7440  932.4820  941.0265  932.4820
   9.2492 292.3219  941.4919  950.0293  941.4919
   9.3093 292.8827  950.5067  959.0366  950.5067
   9.3694 293.4265  959.5259  968.0483  959.5259
   9.4294 293.9535  968.5492  977.0638  968.5492
   9.4895 294.4638  977.5763  986.0828  977.5763
   9.5495 294.9577  986.6067  995.1050  986.6066
