     time        11        10      00        01
   6.4264  539.2852  479.0427  1.1161  479.0427
   6.4865  547.5924  487.2918  1.1395  487.2918
   6.5465  555.9266  495.5708  1.1631  495.5708
   6.6066  564.2873  503.8790  1.1869  503.8790
   6.6667  572.6739  512.2158  1.2109  512.2158
   6.7267  581.0858  520.5805  1.2351  520.5805
   6.7868  589.5223  528.9726  1.2596  528.9726
   6.8468  597.9829  537.3914  1.2842  537.3914
   6.9069  606.4669  545.8363  1.3089  545.8363
   6.9670  614.9738  554.3066  1.3339  554.3066
   7.0270  623.5030  562.8018  1.3591  562.8018
   7.0871  632.0540  571.3212  1.3845  571.3212
   7.1471  640.6261  579.8643  1.4100  579.8643
   7.2072  649.2189  588.4304  1.4357  588.4304
   7.2673  657.8317  597.0190  1.4616  597.0190
   7.3273  666.4640  605.6296  1.4877  605.6296
   7.3874  675.1153  614.2614  1.5139  614.2614
   7.4474  683.7850  622.9141  1.5403  622.9141
   7.5075  692.4727  631.5870  1.5669  631.5870
   7.5676  701.1777  640.2795  1.5937  640.2795
   7.6276  709.8996  648.9912  1.6206  648.9912
   7.6877  718.6379  657.7215  1.6477  657.7215
   7.7477  727.3921  666.4698  1.6749  666.4698
   7.8078  736.1616  675.2357  1.7024  675.2357
   7.8679  744.9460  684.0186  1.7299  684.0186
   7.9279  753.7448  692.8180  1.7576  692.8180
   7.9880  762.5575  701.6333  1.7855  701.6333
   8.0480  771.3836  710.4642  1.8135  710.4642
   8.1081  780.2227  719.3101  1.8417  719.3101
   8.1682  789.0743  728.1705  1.8700  728.1705
   8.2282  797.9379  737.0449  1.8985  737.0449
   8.2883  806.8131  745.9328  1.9271  745.9328
   8.3483  815.6994  754.8338  1.9559  754.8338
   8.4084  824.5964  763.7474  1.9848  763.7474
   8.4685  833.5036  772.6731  2.0138  772.6731
   8.5285  842.4207  781.6105  2.0429  781.6105
   8.5886  851.3471  790.5592  2.0722  790.5592
   8.6486  860.2825  799.5186  2.1017  799.5186
   8.7087  869.2264  808.4883  2.1312  808.4883
   8.7688  878.1785  817.4679  2.1609  817.4679
   8.8288  887.1383  826.4570  2.1907  826.4570
   8.8889  896.1054  835.4552  2.2206  835.4552
   8.9489  905.0794  844.4619  2.2507  844.4619
   9.0090  914.0599  853.4769  2.2808  853.4768
   9.0691  923.0466  862.4996  2.3111  862.4996
   9.1291  932.0390  871.5297  2.3415  871.5297
   9.1892  941.0367  880.5668  2.3720  880.5668
   9.2492  950.0395  889.6104  2.4027  889.6104
   9.3093  959.0468  898.6603  2.4334  898.6603
   9.3694  968.0584  907.7159  2.4642  907.7159
   9.4294  977.0739  916.7770  2.4952  916.7770
   9.4895  986.0929  925.8431  2.5262  925.8431
   9.5495  995.1151  934.9138  2.5574  934.9138
   9.6096 1004.1401  943.9888  2.5886  943.9888
   9.6697 1013.1676  953.0678  2.6200  953.0678
   9.7297 1022.1972  962.1503  2.6514  962.1503
   9.7898 1031.2286  971.2360  2.6830  971.2360
   9.8498 1040.2615  980.3246  2.7146  980.3246
   9.9099 1049.2955  989.4157  2.7463  989.4157
   9.9700 1058.3303  998.5089  2.7781  998.5089
  10.0300 1067.3656 1007.6040  2.8100 1007.6040
  10.0901 1076.4010 1016.7005  2.8420 1016.7005
  10.1502 1085.4363 1025.7982  2.8741 1025.7982
  10.2102 1094.4712 1034.8967  2.9062 1034.8967
  10.2703 1103.5053 1043.9957  2.9384 1043.9957
  10.3303 1112.5384 1053.0949  2.9707 1053.0949
  10.3904 1121.5700 1062.1940  3.0031 1062.1940
  10.4505 1130.6001 1071.2926  3.0356 1071.2926
  10.5105 1139.6282 1080.3904  3.0681 1080.3904
  10.5706 1148.6540 1089.4872  3.1007 1089.4872
  10.6306 1157.6774 1098.5827  3.1334 1098.5827
  10.6907 1166.6979 1107.6765  3.1661 1107.6765
  10.7508 1175.7154 1116.7683  3.1989 1116.7683
  10.8108 1184.7295 1125.8579  3.2318 1125.8579
  10.8709 1193.7401 1134.9450  3.2647 1134.9450
  10.9309 1202.7467 1144.0293  3.2977 1144.0293
  10.9910 1211.7493 1153.1105  3.3307 1153.1105
  11.0511 1220.7474 1162.1883  3.3638 1162.1883
  11.1111 1229.7408 1171.2625  3.3970 1171.2625
  11.1712 1238.7294 1180.3328  3.4302 1180.3328
  11.2312 1247.7128 1189.3990  3.4635 1189.3990
  11.2913 1256.6908 1198.4607  3.4968 1198.4607
  11.3514 1265.6632 1207.5178  3.5302 1207.5178
  11.4114 1274.6297 1216.5699  3.5636 1216.5699
  11.4715 1283.5901 1225.6169  3.5971 1225.6169
  11.5315 1292.5441 1234.6584  3.6306 1234.6584
  11.5916 1301.4916 1243.6942  3.6642 1243.6942
  11.6517 1310.4322 1252.7242  3.6978 1252.7242
  11.7117 1319.3659 1261.7480  3.7314 1261.7480
  11.7718 1328.2922 1270.7654  3.7651 1270.7654
  11.8318 1337.2111 1279.7762  3.7988 1279.7762
  11.8919 1346.1224 1288.7801  3.8326 1288.7801
  11.9520 1355.0257 1297.7770  3.8664 1297.7770
  12.0120 1363.9210 1306.7665  3.9002 1306.7666
  12.0721 1372.8079 1315.7486  3.9341 1315.7486
  12.1321 1381.6863 1324.7230  3.9680 1324.7230
  12.1922 1390.5560 1333.6894  4.0019 1333.6894
  12.2523 1399.4168 1342.6476  4.0358 1342.6476
  12.3123 1408.2686 1351.5975  4.0698 1351.5975
  12.3724 1417.1110 1360.5388  4.1038 1360.5389
  12.4324 1425.9439 1369.4714  4.1379 1369.4714
  12.4925 1434.7672 1378.3950  4.1719 1378.3950
  12.5526 1443.5806 1387.3095  4.2060 1387.3095
  12.6126 1452.3840 1396.2146  4.2401 1396.2146
  12.6727 1461.1771 1405.1101  4.2742 1405.1101
  12.7327 1469.9599 1413.9959  4.3083 1413.9959
  12.7928 1478.7321 1422.8718  4.3425 1422.8719
  12.8529 1487.4936 1431.7377  4.3766 1431.7377
  12.9129 1496.2442 1440.5932  4.4108 1440.5932
  12.9730 1504.9837 1449.4383  4.4450 1449.4383
  13.0330 1513.7120 1458.2727  4.4792 1458.2727
  13.0931 1522.4289 1467.0963  4.5134 1467.0963
  13.1532 1531.1342 1475.9090  4.5477 1475.9090
  13.2132 1539.8278 1484.7105  4.5819 1484.7105
  13.2733 1548.5096 1493.5008  4.6161 1493.5008
  13.3333 1557.1793 1502.2795  4.6504 1502.2795
  13.3934 1565.8369 1511.0466  4.6846 1511.0466
