     time         11         10      00         01
   0.0000     0.0000     0.0000  0.0000     0.0000
   0.0601     0.0000     0.0000  0.0000     0.0000
   0.1201     0.0005     0.0003  0.0000     0.0003
   0.1802     0.0037     0.0019  0.0000     0.0019
   0.2402     0.0147     0.0074  0.0000     0.0074
   0.3003     0.0418     0.0211  0.0000     0.0211
   0.3604     0.0958     0.0486  0.0001     0.0486
   0.4204     0.1892     0.0965  0.0002     0.0965
   0.4805     0.3348     0.1717  0.0004     0.1717
   0.5405     0.5455     0.2813  0.0006     0.2813
   0.6006     0.8331     0.4318  0.0009     0.4318
   0.6607     1.2087     0.6295  0.0013     0.6295
   0.7207     1.6820     0.8800  0.0018     0.8800
   0.7808     2.2623     1.1884  0.0025     1.1884
   0.8408     2.9576     1.5596  0.0033     1.5596
   0.9009     3.7754     1.9980  0.0042     1.9980
   0.9610     4.7225     2.5077  0.0053     2.5077
   1.0210     5.8052     3.0925  0.0065     3.0925
   1.0811     7.0288     3.7563  0.0079     3.7563
   1.1411     8.3986     4.5024  0.0095     4.5024
   1.2012     9.9188     5.3343  0.0112     5.3343
   1.2613    11.5932     6.2551  0.0132     6.2551
   1.3213    13.4252     7.2680  0.0153     7.2680
   1.3814    15.4171     8.3758  0.0176     8.3758
   1.4414    17.5709     9.5813  0.0202     9.5813
   1.5015    19.8878    10.8873  0.0229    10.8873
   1.5616    22.3681    12.2962  0.0259    12.2962
   1.6216    25.0116    13.8105  0.0290    13.8105
   1.6817    27.8173    15.4326  0.0325    15.4326
   1.7417    30.7834    17.1646  0.0361    17.1646
   1.8018    33.9076    19.0085  0.0400    19.0085
   1.8619    37.1869    20.9665  0.0441    20.9665
   1.9219    40.6178    23.0402  0.0485    23.0402
   1.9820    44.1965    25.2315  0.0531    25.2315
   2.0420    47.9190    27.5420  0.0579    27.5420
   2.1021    51.7810    29.9731  0.0631    29.9731
   2.1622    55.7784    32.5264  0.0684    32.5264
   2.2222    59.9073    35.2031  0.0741    35.2031
   2.2823    64.1638    38.0043  0.0800    38.0043
   2.3423    68.5444    40.9311  0.0862    40.9311
   2.4024    73.0459    43.9846  0.0926    43.9846
   2.4625    77.6655    47.1654  0.0994    47.1654
   2.5225    82.4003    50.4744  0.1064    50.4744
   2.5826    87.2481    53.9121  0.1137    53.9121
   2.6426    92.2066    57.4789  0.1213    57.4789
   2.7027    97.2739    61.1754  0.1291    61.1754
   2.7628   102.4481    65.0016  0.1373    65.0016
   2.8228   107.7275    68.9576  0.1457    68.9576
   2.8829   113.1104    73.0435  0.1544    73.0435
   2.9429   118.5954    77.2590  0.1635    77.2590
   3.0030   124.1810    81.6039  0.1728    81.6039
   3.0631   129.8659    86.0776  0.1824    86.0776
   3.1231   135.6487    90.6797  0.1923    90.6797
   3.1832   141.5283    95.4094  0.2026    95.4094
   3.2432   147.5034   100.2657  0.2131   100.2657
   3.3033   153.5728   105.2478  0.2239   105.2478
   3.3634   159.7354   110.3544  0.2350   110.3544
   3.4234   165.9901   115.5843  0.2465   115.5843
   3.4835   172.3359   120.9361  0.2582   120.9361
   3.5435   178.7717   126.4082  0.2703   126.4082
   3.6036   185.2964   131.9989  0.2826   131.9989
   3.6637   191.9091   137.7065  0.2953   137.7065
   3.7237   198.6088   143.5292  0.3083   143.5292
   3.7838   205.3946   149.4649  0.3215   149.4649
   3.8438   212.2654   155.5118  0.3351   155.5118
   3.9039   219.2204   161.6678  0.3490   161.6678
   3.9640   226.2587   167.9309  0.3632   167.9309
   4.0240   233.3793   174.2989  0.3777   174.2989
   4.0841   240.5813   180.7698  0.3926   180.7698
   4.1441   247.8640   187.3416  0.4077   187.3416
   4.2042   255.2264   194.0122  0.4232   194.0122
   4.2643   262.6676   200.7797  0.4389   200.7797
   4.3243   270.1869   207.6423  0.4550   207.6423
   4.3844   277.7834   214.5981  0.4714   214.5981
   4.4444   285.4563   221.6453  0.4881   221.6453
   4.5045   293.2048   228.7822  0.5051   228.7822
   4.5646   301.0281   236.0072  0.5224   236.0072
   4.6246   308.9253   243.3188  0.5400   243.3188
   4.6847   316.8958   250.7156  0.5579   250.7156
   4.7447   324.9387   258.1960  0.5761   258.1960
   4.8048   333.0533   265.7587  0.5947   265.7587
   4.8649   341.2387   273.4025  0.6135   273.4025
   4.9249   349.4944   281.1261  0.6326   281.1261
   4.9850   357.8195   288.9283  0.6521   288.9283
   5.0450   366.2132   296.8080  0.6719   296.8080
   5.1051   374.6749   304.7640  0.6919   304.7640
   5.1652   383.2039   312.7953  0.7123   312.7953
   5.2252   391.7993   320.9010  0.7329   320.9010
   5.2853   400.4607   329.0799  0.7539   329.0799
   5.3453   409.1871   337.3311  0.7752   337.3311
   5.4054   417.9779   345.6537  0.7967   345.6537
   5.4655   426.8325   354.0468  0.8186   354.0468
   5.5255   435.7502   362.5094  0.8407   362.5094
   5.5856   444.7303   371.0407  0.8632   371.0407
   5.6456   453.7721   379.6399  0.8859   379.6399
   5.7057   462.8749   388.3061  0.9089   388.3061
   5.7658   472.0382   397.0385  0.9323   397.0385
   5.8258   481.2612   405.8363  0.9559   405.8363
   5.8859   490.5434   414.6988  0.9798   414.6988
   5.9459   499.8840   423.6251  1.0040   423.6251
   6.0060   509.2825   432.6145  1.0285   432.6145
   6.0661   518.7382   441.6663  1.0532   441.6663
   6.1261   528.2505   450.7797  1.0783   450.7797
   6.1862   537.8189   459.9541  1.1036   459.9541
   6.2462   547.4426   469.1886  1.1292   469.1886
   6.3063   557.1211   478.4827  1.1551   478.4827
   6.3664   566.8538   487.8356  1.1813   487.8356
   6.4264   576.6401   497.2467  1.2077   497.2467
   6.4865   586.4794   506.7153  1.2345   506.7153
   6.5465   596.3711   516.2407  1.2615   516.2407
   6.6066   606.3147   525.8223  1.2887   525.8223
   6.6667   616.3095   535.4594  1.3163   535.4594
   6.7267   626.3551   545.1515  1.3441   545.1515
   6.7868   636.4508   554.8978  1.3722   554.8978
   6.8468   646.5962   564.6978  1.4005   564.6978
   6.9069   656.7905   574.5509  1.4291   574.5509
   6.9670   667.0334   584.4564  1.4580   584.4564
   7.0270   677.3242   594.4138  1.4871   594.4138
   7.0871   687.6624   604.4224  1.5165   604.4224
   7.1471   698.0475   614.4818  1.5462   614.4818
   7.2072   708.4790   624.5912  1.5761   624.5912
   7.2673   718.9563   634.7502  1.6062   634.7502
   7.3273   729.4790   644.9581  1.6367   644.9581
   7.3874   740.0464   655.2144  1.6673   655.2144
   7.4474   750.6581   665.5186  1.6983   665.5186
   7.5075   761.3136   675.8702  1.7294   675.8702
   7.5676   772.0124   686.2684  1.7608   686.2684
   7.6276   782.7540   696.7129  1.7925   696.7129
   7.6877   793.5379   707.2031  1.8244   707.2031
   7.7477   804.3636   717.7385  1.8566   717.7385
   7.8078   815.2306   728.3186  1.8889   728.3186
   7.8679   826.1385   738.9427  1.9216   738.9427
   7.9279   837.0867   749.6105  1.9544   749.6105
   7.9880   848.0749   760.3214  1.9875   760.3214
   8.0480   859.1025   771.0749  2.0209   771.0749
   8.1081   870.1690   781.8706  2.0544   781.8706
   8.1682   881.2741   792.7079  2.0882   792.7079
   8.2282   892.4172   803.5863  2.1223   803.5863
   8.2883   903.5979   814.5054  2.1565   814.5054
   8.3483   914.8158   825.4646  2.1910   825.4646
   8.4084   926.0704   836.4636  2.2257   836.4636
   8.4685   937.3613   847.5018  2.2606   847.5018
   8.5285   948.6880   858.5788  2.2957   858.5788
   8.5886   960.0501   869.6941  2.3311   869.6941
   8.6486   971.4473   880.8472  2.3667   880.8472
   8.7087   982.8789   892.0378  2.4025   892.0378
   8.7688   994.3447   903.2653  2.4385   903.2653
   8.8288  1005.8442   914.5293  2.4747   914.5293
   8.8889  1017.3771   925.8294  2.5111   925.8294
   8.9489  1028.9428   937.1652  2.5478   937.1652
   9.0090  1040.5410   948.5361  2.5846   948.5361
   9.0691  1052.1713   959.9418  2.6216   959.9418
   9.1291  1063.8333   971.3819  2.6589   971.3819
   9.1892  1075.5266   982.8559  2.6963   982.8559
   9.2492  1087.2508   994.3635  2.7340   994.3635
   9.3093  1099.0055  1005.9041  2.7718  1005.9041
   9.3694  1110.7903  1017.4775  2.8099  1017.4775
   9.4294  1122.6048  1029.0831  2.8481  1029.0831
   9.4895  1134.4487  1040.7206  2.8865  1040.7206
